fma_track_id,track_id,archive

2,2.0,0-256.parquet.gzip
3,3.0,0-256.parquet.gzip
5,5.0,0-256.parquet.gzip
10,10.0,0-256.parquet.gzip
134,134.0,0-256.parquet.gzip
135,135.0,0-256.parquet.gzip
136,136.0,0-256.parquet.gzip
151,151.0,0-256.parquet.gzip
152,152.0,0-256.parquet.gzip
153,153.0,0-256.parquet.gzip
154,154.0,0-256.parquet.gzip
155,155.0,0-256.parquet.gzip
169,169.0,0-256.parquet.gzip
170,170.0,0-256.parquet.gzip
171,171.0,0-256.parquet.gzip
172,172.0,0-256.parquet.gzip
173,173.0,0-256.parquet.gzip
174,174.0,0-256.parquet.gzip
175,175.0,0-256.parquet.gzip
176,176.0,0-256.parquet.gzip
177,177.0,0-256.parquet.gzip
178,178.0,0-256.parquet.gzip
179,179.0,0-256.parquet.gzip
181,181.0,0-256.parquet.gzip
182,182.0,0-256.parquet.gzip
183,183.0,0-256.parquet.gzip
184,184.0,0-256.parquet.gzip
213,213.0,0-256.parquet.gzip
226,226.0,0-256.parquet.gzip
228,228.0,0-256.parquet.gzip
247,247.0,0-256.parquet.gzip
249,249.0,0-256.parquet.gzip
252,252.0,0-256.parquet.gzip
255,255.0,0-256.parquet.gzip
256,256.0,0-256.parquet.gzip
257,257.0,0-256.parquet.gzip
258,258.0,0-256.parquet.gzip
303,303.0,0-256.parquet.gzip
304,304.0,0-256.parquet.gzip
305,305.0,0-256.parquet.gzip
306,306.0,0-256.parquet.gzip
307,307.0,0-256.parquet.gzip
308,308.0,0-256.parquet.gzip
309,309.0,0-256.parquet.gzip
310,310.0,0-256.parquet.gzip
311,311.0,0-256.parquet.gzip
312,312.0,0-256.parquet.gzip
313,313.0,0-256.parquet.gzip
314,314.0,0-256.parquet.gzip
315,315.0,0-256.parquet.gzip
316,316.0,0-256.parquet.gzip
317,317.0,0-256.parquet.gzip
318,318.0,0-256.parquet.gzip
319,319.0,0-256.parquet.gzip
320,320.0,0-256.parquet.gzip
321,321.0,0-256.parquet.gzip
322,322.0,0-256.parquet.gzip
323,323.0,0-256.parquet.gzip
324,324.0,0-256.parquet.gzip
325,325.0,0-256.parquet.gzip
326,326.0,0-256.parquet.gzip
327,327.0,0-256.parquet.gzip
328,328.0,0-256.parquet.gzip
330,330.0,0-256.parquet.gzip
331,331.0,0-256.parquet.gzip
332,332.0,0-256.parquet.gzip
333,333.0,0-256.parquet.gzip
334,334.0,0-256.parquet.gzip
335,335.0,0-256.parquet.gzip
336,336.0,0-256.parquet.gzip
337,337.0,0-256.parquet.gzip
338,338.0,0-256.parquet.gzip
339,339.0,0-256.parquet.gzip
340,340.0,0-256.parquet.gzip
341,341.0,0-256.parquet.gzip
342,342.0,0-256.parquet.gzip
343,343.0,0-256.parquet.gzip
344,344.0,0-256.parquet.gzip
345,345.0,0-256.parquet.gzip
346,346.0,0-256.parquet.gzip
347,347.0,0-256.parquet.gzip
348,348.0,0-256.parquet.gzip
349,349.0,0-256.parquet.gzip
350,350.0,0-256.parquet.gzip
351,351.0,0-256.parquet.gzip
352,352.0,0-256.parquet.gzip
353,353.0,0-256.parquet.gzip
354,354.0,0-256.parquet.gzip
355,355.0,0-256.parquet.gzip
356,356.0,0-256.parquet.gzip
357,357.0,0-256.parquet.gzip
358,358.0,0-256.parquet.gzip
359,359.0,0-256.parquet.gzip
360,360.0,0-256.parquet.gzip
361,361.0,0-256.parquet.gzip
362,362.0,0-256.parquet.gzip
363,363.0,0-256.parquet.gzip
364,364.0,0-256.parquet.gzip
365,365.0,0-256.parquet.gzip
366,366.0,0-256.parquet.gzip
367,367.0,0-256.parquet.gzip
368,368.0,0-256.parquet.gzip
369,369.0,0-256.parquet.gzip
370,370.0,0-256.parquet.gzip
371,371.0,0-256.parquet.gzip
384,384.0,0-256.parquet.gzip
385,385.0,0-256.parquet.gzip
386,386.0,0-256.parquet.gzip
387,387.0,0-256.parquet.gzip
393,393.0,0-256.parquet.gzip
394,394.0,0-256.parquet.gzip
