,folder,file,id,path
0,000,000002.mp3,2,/mnt/g/fma/fma_small/000/000002.mp3
1,000,000005.mp3,5,/mnt/g/fma/fma_small/000/000005.mp3
2,000,000010.mp3,10,/mnt/g/fma/fma_small/000/000010.mp3
3,000,000140.mp3,140,/mnt/g/fma/fma_small/000/000140.mp3
4,000,000141.mp3,141,/mnt/g/fma/fma_small/000/000141.mp3
5,000,000148.mp3,148,/mnt/g/fma/fma_small/000/000148.mp3
6,000,000182.mp3,182,/mnt/g/fma/fma_small/000/000182.mp3
7,000,000190.mp3,190,/mnt/g/fma/fma_small/000/000190.mp3
8,000,000193.mp3,193,/mnt/g/fma/fma_small/000/000193.mp3
9,000,000194.mp3,194,/mnt/g/fma/fma_small/000/000194.mp3
10,000,000197.mp3,197,/mnt/g/fma/fma_small/000/000197.mp3
11,000,000200.mp3,200,/mnt/g/fma/fma_small/000/000200.mp3
12,000,000203.mp3,203,/mnt/g/fma/fma_small/000/000203.mp3
13,000,000204.mp3,204,/mnt/g/fma/fma_small/000/000204.mp3
14,000,000207.mp3,207,/mnt/g/fma/fma_small/000/000207.mp3
15,000,000210.mp3,210,/mnt/g/fma/fma_small/000/000210.mp3
16,000,000211.mp3,211,/mnt/g/fma/fma_small/000/000211.mp3
17,000,000212.mp3,212,/mnt/g/fma/fma_small/000/000212.mp3
18,000,000213.mp3,213,/mnt/g/fma/fma_small/000/000213.mp3
19,000,000255.mp3,255,/mnt/g/fma/fma_small/000/000255.mp3
20,000,000256.mp3,256,/mnt/g/fma/fma_small/000/000256.mp3
21,000,000368.mp3,368,/mnt/g/fma/fma_small/000/000368.mp3
22,000,000424.mp3,424,/mnt/g/fma/fma_small/000/000424.mp3
23,000,000459.mp3,459,/mnt/g/fma/fma_small/000/000459.mp3
24,000,000534.mp3,534,/mnt/g/fma/fma_small/000/000534.mp3
25,000,000540.mp3,540,/mnt/g/fma/fma_small/000/000540.mp3
26,000,000546.mp3,546,/mnt/g/fma/fma_small/000/000546.mp3
27,000,000574.mp3,574,/mnt/g/fma/fma_small/000/000574.mp3
28,000,000602.mp3,602,/mnt/g/fma/fma_small/000/000602.mp3
29,000,000615.mp3,615,/mnt/g/fma/fma_small/000/000615.mp3
30,000,000620.mp3,620,/mnt/g/fma/fma_small/000/000620.mp3
31,000,000621.mp3,621,/mnt/g/fma/fma_small/000/000621.mp3
32,000,000625.mp3,625,/mnt/g/fma/fma_small/000/000625.mp3
33,000,000666.mp3,666,/mnt/g/fma/fma_small/000/000666.mp3
34,000,000667.mp3,667,/mnt/g/fma/fma_small/000/000667.mp3
35,000,000676.mp3,676,/mnt/g/fma/fma_small/000/000676.mp3
36,000,000690.mp3,690,/mnt/g/fma/fma_small/000/000690.mp3
37,000,000694.mp3,694,/mnt/g/fma/fma_small/000/000694.mp3
38,000,000695.mp3,695,/mnt/g/fma/fma_small/000/000695.mp3
39,000,000704.mp3,704,/mnt/g/fma/fma_small/000/000704.mp3
40,000,000705.mp3,705,/mnt/g/fma/fma_small/000/000705.mp3
41,000,000706.mp3,706,/mnt/g/fma/fma_small/000/000706.mp3
42,000,000707.mp3,707,/mnt/g/fma/fma_small/000/000707.mp3
43,000,000708.mp3,708,/mnt/g/fma/fma_small/000/000708.mp3
44,000,000709.mp3,709,/mnt/g/fma/fma_small/000/000709.mp3
45,000,000714.mp3,714,/mnt/g/fma/fma_small/000/000714.mp3
46,000,000715.mp3,715,/mnt/g/fma/fma_small/000/000715.mp3
47,000,000716.mp3,716,/mnt/g/fma/fma_small/000/000716.mp3
